judge,PCT_DENIED,PCT_DISMISSED,PCT_GRANTED,PCT_UNCLEAR,PCT_WITHDRAWN,PCT_DENIED_OR_DISMISSED,TOTAL_CASES,FIRST_CASE_DATE,LAST_CASE_DATE
Friedman,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2005-10-27,2005-10-27
G.B. Smith,0.9017199017199017,0.08353808353808354,0.013513513513513514,0.0,0.0012285012285012285,0.9852579852579852,814.0,2004-02-25,2006-09-13
Garcia,0.9221276595744681,0.06808510638297872,0.005531914893617021,0.0,0.00425531914893617,0.9902127659574468,2350.0,2016-05-03,2024-04-30
Gesmer,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2017-01-12,2020-12-23
Gische,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2016-11-29,2016-11-29
Gorsky,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2007-03-06,2007-03-06
Graffeo,0.8890418502202643,0.07736784140969163,0.030561674008810574,0.0,0.0030286343612334803,0.9664096916299559,3632.0,2004-02-05,2014-11-25
Green,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2008-03-17,2011-10-21
Hall,0.0,0.0,1.0,0.0,0.0,0.0,12.0,2013-06-13,2018-03-02
Halligan,0.8333333333333334,0.13157894736842105,0.017543859649122806,0.0,0.017543859649122806,0.9649122807017544,114.0,2023-06-27,2024-04-30
Hayes,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2005-03-21,2005-03-21
Hinds-Radiz,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2021-02-17,2021-02-17
Hurlbutt,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2005-08-09,2009-08-13
Jones,0.8795370857443451,0.08890057864281957,0.02998421883219358,0.0,0.0015781167806417674,0.9684376643871646,1901.0,2007-03-12,2012-11-02
Kapnick,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2016-09-29,2016-09-29
Kaye,0.8917721518987342,0.08544303797468354,0.018354430379746836,0.0,0.004430379746835443,0.9772151898734177,1580.0,2004-02-03,2008-12-09
LaSalle,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2017-06-08,2017-06-08
Lahtinen,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2008-08-27,2008-08-27
Leventhal,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2010-03-18,2010-03-18
Lindley,0.0,0.0,1.0,0.0,0.0,0.0,14.0,2011-04-14,2017-08-28
Lippman,0.8543563068920677,0.08365843086259211,0.055916775032509754,0.0,0.006068487212830516,0.9380147377546597,2307.0,2009-03-09,2015-12-29
Lynch,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2015-03-26,2023-06-15
Malone,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2009-03-02,2011-09-07
Manzanet-Daniels,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2016-07-28,2020-10-05
Martoche,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2009-04-06,2013-08-06
Mazzarelli,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2017-08-29,2017-08-29
McCarthy,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2010-07-08,2014-06-05
McGuire,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2006-06-06,2006-06-06
McShan,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2023-08-22,2023-08-22
Mercure,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2006-09-21,2006-09-21
Miller,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2012-09-13,2015-11-09
Moskowitz,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2017-01-03,2017-01-03
Mugglin,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2007-06-19,2007-06-19
Mulvey,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2019-08-29,2019-08-29
No judge,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2017-09-11,2017-09-11
Peradotto,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2013-08-14,2017-05-22
Pigott,0.8737048445813498,0.08429011481377766,0.03892467096051526,0.0,0.003080369644357323,0.9579949593951275,3571.0,2006-11-15,2016-12-19
Pine J.,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2008-02-27,2008-02-27
R.S. Smith,0.8759325780602376,0.08040895274937829,0.03978999723680575,0.0,0.0038684719535783366,0.9563415308096159,3619.0,2004-02-26,2018-08-07
Read,0.9017812963879268,0.07595249876298862,0.01880257298367145,0.00024740227610094015,0.0032162295893122216,0.9777337951509154,4042.0,2004-02-13,2015-08-18
Renwick,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2019-04-30,2021-02-01
Reynolds Fitzgerald,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2024-01-11,2024-01-11
Rivera,0.9026369168356998,0.07447116777745581,0.02057374674007534,0.0,0.0023181686467690526,0.9771080846131556,3451.0,2013-03-27,2024-04-30
Roman,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2020-12-09,2020-12-09
Rose,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2008-11-06,2008-11-06
Rosenblatt,0.889281507656066,0.08480565371024736,0.02237926972909305,0.0,0.0035335689045936395,0.9740871613663133,849.0,2003-10-14,2006-11-27
Saxe,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2005-07-14,2005-07-14
Sconiers,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2014-01-28,2014-01-28
Scudder,0.0,0.0,1.0,0.0,0.0,0.0,11.0,2005-08-09,2015-05-21
Singas,0.9138240574506283,0.07360861759425494,0.012567324955116697,0.0,0.0,0.9874326750448833,557.0,2021-08-19,2024-04-30
Spain,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2008-09-23,2008-09-23
Stein,0.9063079777365491,0.07699443413729128,0.013450834879406308,0.0,0.003246753246753247,0.9833024118738404,2156.0,2008-07-22,2021-06-02
Sweeny,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2005-03-23,2007-03-29
Tom,0.0,0.0,1.0,0.0,0.0,0.0,7.0,2004-02-24,2019-12-27
Troutman,0.8959537572254336,0.06647398843930635,0.031791907514450865,0.0,0.005780346820809248,0.9624277456647399,346.0,2022-03-24,2024-04-12
Webber,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2017-03-02,2017-10-03
Whalen,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2014-03-20,2016-09-16
Wilson,0.8903620601733809,0.07139214686384497,0.035696073431922486,0.0,0.0025497195308516064,0.9617542070372259,1961.0,2017-05-15,2024-04-24
Winslow,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2017-09-29,2017-09-29
Average,0.8886913310082291,0.07827851102145023,0.02940573069821514,4.5590280152271535e-05,0.0035788369919533157,0.9669698420296793,,,
